, lack of authorisation and CSRF checks,delete arbitrary file,AJAX action,authenticated users,HTML2WP WordPress plugin,through 1.0.0,
, lack of authorisation and CSRF checks|lack of file validation,upload arbitrary files,importing files,unauthenticated attackers,HTML2WP WordPress plugin,through 1.0.0,
, lack of authorisation and CSRF checks,change settings,CSRF vector,unauthenticated users,Change wp-admin login WordPress plugin,before 1.1.0,
, relative path traversal,Remote Code Execution,upload .php file,privileged user,Pandora FMS,v7.0NG.760 and below,File Manager
, Incorrect Permission Assignment,loss of confidentiality|loss of integrity,,,Horizon,,,session cookies
, ,directory traversal,obtain arbitrary operating system files,,,,,
, ,DoS,denial of service,tapjacking|overlay attack,local attacker,Android,Android-10|Android-11|Android-12,ApplicationsDetailsActivity in AndroidManifest.xml
, improper access controls,execute arbitrary commands,malicious command,authenticated local attacker,Cisco SD-WAN Software,,CLI
, ,execute arbitrary commands|read container image files|upload container image files|cross-site request forgery,,,Cisco Nexus Dashboard,,
, insufficient filename validation,path traversal,,authenticated administrator-level users,Elcomplus SmartICS,v2.3.4.0,
, relative path traversal,write DICOM files into arbitrary directories|remote code execution,,attacker,OFFIS DCMTK,All versions prior to 3.6.7,service class user (SCU)
, lack of proper validation|lack of authorization|lack of csrf checks,upload arbitrary files|remote code execution,,unauthenticated attacker,GREYD.SUITE WordPress theme,,
, failure to set HTTPOnly flag,obtain sensitive information,,remote attacker,IBM Control Desk,7.6.1,
, incorrect access control,view content|download content,path traversal,authenticated attackers,Ovidentia CMS,6.0,FileManager
, lack of security controls,alter Kubernetes cluster's resources,inject workload,local user|local process,Weave GitOps,< v0.12.0,GitOps run
, lack of encryption,alter bucket content,,privileged users|privileged process,Weave GitOps,< v0.12.0,GitOps Run
, Relative Path Traversal,write arbitrary file,specially-crafted package,,GuardDog,prior to 0.1.5,
, configuration loading error,CSRF attacks,,,Symfony,,,form component
, path traversal,bypass CSRF protections|privilege escalation,,attacker,GitHub Enterprise Server,prior to 3.5,management console
, ,steal root privileges,POST request,remote attackers,IPTIME NAS,,
, path traversal,read files,,unauthenticated user,AVEVA InTouch Access Anywhere,2020 R2 and older,secure gateway web server
, failure to set security attributes,transmit session cookies in plaintext,sniff network,unencrypted HTTP protocol,,Desigo DXR2|Desigo PXC3|Desigo PXC4|Desigo PXC5,All versions < V01.21.142.5-22|All versions < V01.21.142.4-18|All versions < V02.20.142.10-10884|All versions < V02.20.142.10-10884,
, ,exposure of home directory|directory traversal,,,Shescape,1.4.0 to 1.5.1,escape|escapeAll functions
, path traversal|improper access control,leak sensitive files,,malicious user,Argo CD,1.3.0 to < 2.1.11|< 2.2.6|< 2.3.0,repo-server
, preservation of session attributes,bypass CSRF protection,,same-site attackers,Symfony,< 4.4,
, path traversal,,,untrusted input,Piano LED Visualizer,1.3 and prior,os.path.join
, lack of origin checking,exfiltrate CSRF token,crafted event message,,Liferay Portal|Liferay DXP,v7.4.3.4 to v7.4.3.8|7.4 before update 5,Remote App module
, absolute path traversal,download any file,HTTP GET request,remote attacker,DVDFab 12 Player,,,
, directory traversal,arbitrary file reads,,,,github.com/argoproj/argo-events/sensors/artifacts,before 1.7.1,GitArtifactReader.Read() API
, symlink following,write outside expected base directory,,,Apache Hadoop,< 3.2.3,unTar function
, relative path traversal,access critical data,,remote unauthenticated attacker,Eclipse GlassFish,5.1.0 to 6.2.5,
, CSRF,create crontab entry|remote code execution,,,iRZ Mobile Routers,through 2022-03-16,/api/crontab
, race condition,execute arbitrary commands,,remote attackers,Synology DiskStation Manager,before 7.1.1-42962-2,Out-of-Band (OOB) Management
, ,use session cookie as CSRF token,,,Octopus Server,,
, path traversal,implant malicious file|execute malicious code,,attackers,Emerson Electric's Proficy Machine Edition,9.80 and prior,
, directory traversal,upload arbitrary files,,authenticated user with administrator rights,Zimbra Collaboration,8.8.15 and 9.0,mboximport functionality
, insufficient URL validation,redirect users to malicious site,,unauthenticated attacker,SAP NetWeaver ABAP Server|ABAP Platform,740|750|787,
, relative path traversal,read arbitrary files|gain full control,,remote attackers,Carlo Gavazzi UWP3.0|CPY Car Park Server,,
, relative path traversal,write to underlying filesystem,,authenticated attacker,Fortinet FortiSOAR,before 7.2.1,
, access-control bypass,,,,,Zoho ManageEngine Access Manager Plus|Password Manager Pro|PAM360,before 4302|before 12007|before 5401,Rest API URLs
, relative path traversal,,,,GitHub repository dnnsoftware/dnn.platform,prior to 9.11.0,
, authentication bypass|directory traversal,,,,,MicroStrategy Enterprise Manager,2022,
, path traversal,install custom packages,,authenticated attacker,Western Digital My Cloud Home|My Cloud Home Duo|SanDisk ibi,prior to 8.11.0-113,HTTP API
, path traversal,retrieve files,,authenticated attacker,FortiWeb,"7.0.0 through 7.0.1, 6.3.0 through 6.3.19, 6.4 all versions, 6.2 all versions, 6.1 all versions, 6.0 all versions",API
, relative path traversal,obtain unauthorized access to files and data,,authenticated attacker,FortiWeb,"7.0.0 through 7.0.1, 6.3.6 through 6.3.18, 6.4 all versions",
, relative path traversal,retrieve files|delete files,,remote authenticated attacker,FortiDeceptor,"1.0.0 through 3.2.x, 3.3.0 through 3.3.2, 4.0.0 through 4.0.1",management interface
, path traversal,obtain user credential hashes,,,Red Lion Controls Crimson,3.0 versions 707.000 and prior|3.1 versions 3126.001 and prior|3.2 versions 3.2.0044.0 and prior,
, path traversal,read files,,remote attackers,SUSE Linux Enterprise Module for SUSE Manager Server|SUSE Manager Server,4.2|4.3,spacewalk/Uyuni
, path traversal,,,,,ChaoticOnyx/OnyxForum,before 2022-05-04,Flask send_file function
, path traversal,,,,,operatorequals/wormnest,through 0.4.7,Flask send_file function
, path traversal,,,,,orchest/orchest,before 2022.05.0,Flask send_file function
, path traversal,,,,,ChangeWeDer/BaiduWenkuSpider_flaskWeb,before 2021-11-29,Flask send_file function
, path traversal,,,,,cheo0/MercadoEnLineaBack,through 2022-05-04,Flask send_file function
, path traversal,,,,,cmusatyalab/opendiamond,through 10.1.1,Flask send_file function
, path traversal,,,,,ganga-devs/ganga,before 8.5.10,Flask send_file function
, path traversal,,,,,idayrus/evoting,before 2022-05-08,Flask send_file function
, path traversal,,,,,iedadata/usap-dc-website,through 1.0.1,Flask send_file function
, path traversal,,,,,sergeKashkin/Simple-RAT,before 2022-05-03,Flask send_file function
, path traversal,,,,,AFDudley/equanimity,through 2014-04-23,Flask send_file function
, path traversal,,,,,Atom02/flask-mvc,through 2020-09-14,Flask send_file function
, path traversal,,,,,BolunHan/Krypton,through 2021-06-03,Flask send_file function
, path traversal,,,,,Caoyongqi912/Fan_Platform,through 2021-04-20,Flask send_file function
, path traversal,,,,,Delor4/CarceresBE,through 1.0,Flask send_file function
, path traversal,,,,,Harveyzyh/Python,through 2022-05-04,Flask send_file function
, path traversal,,,,,HolgerGraef/MSM,through 2021-04-20,Flask send_file function
, path traversal,,,,,JustAnotherSoftwareDeveloper/Python-Recipe-Database,through 2021-03-31,Flask send_file function
, path traversal,,,,,Lukasavicus/WindMill,through 1.0,Flask send_file function
, path traversal,,,,,Luxas98/logstash-management-api,through 2020-05-04,Flask send_file function
, path traversal,,,,,Niyaz-Mohamed/mosaic,through 1.0.0,Flask send_file function
, path traversal,,,,,NotVinay/karaokey,through 2019-12-11,Flask send_file function
, path traversal,,,,,PaddlePaddle/Anakin,through 0.1.1,Flask send_file function
, path traversal,,,,,PureStorage-OpenConnect/swagger,through 1.1.5,Flask send_file function
, path traversal,,,,,SummaLabs/DLS,through 0.1.0,Flask send_file function
, path traversal,,,,,ThundeRatz/ThunderDocs,through 2020-05-01,Flask send_file function
, path traversal,,,,,Wildog/flask-file-server,through 2020-02-20,Flask send_file function
, path traversal,,,,,bonn-activity-maps/bam_annotation_tool,through 2021-08-31,Flask send_file function
, path traversal,,,,,cinemaproject/monorepo,through 2021-03-03,Flask send_file function
, path traversal,,,,,csm-aut/csm,through 3.5,Flask send_file function
, path traversal,,,,,dainst/cilantro,through 0.0.4,Flask send_file function
, path traversal,,,,,dankolbman/travel_blahg,through 2016-01-16,Flask send_file function
, path traversal,,,,,decentraminds/umbral,through 2020-01-15,Flask send_file function
, path traversal,,,,,echoleegroup/PythonWeb,through 2018-10-31,Flask send_file function
, path traversal,,,,,freefood89/Fishtank,through 2015-06-24,Flask send_file function
, path traversal,,,,,jaygarza1982/ytdl-sync,through 2021-01-02,Flask send_file function
, path traversal,,,,,jmcginty15/Solar-system-simulator,through 2021-07-26,Flask send_file function
, path traversal,,,,,joaopedro-fg/mp-m08-interface,through 2020-12-10,Flask send_file function
, path traversal,,,,,kotekan/kotekan,through 2021.11,Flask send_file function
, path traversal,,,,,kumardeepak/hin-eng-preprocessing,through 2019-07-16,Flask send_file function
, path traversal,,,,,lyubolp/Barry-Voice-Assistant,through 2021-01-18,Flask send_file function
, path traversal,,,,,mandoku/mdweb,through 2015-05-07,Flask send_file function
, path traversal,,,,,maxtortime/SetupBox,through 1.0,Flask send_file function
, path traversal,,,,,meerstein/rbtm,through 1.5,Flask send_file function
, path traversal,,,,,ml-inory/ModelConverter,through 2021-04-26,Flask send_file function
, path traversal,,,,,nlpweb/glance,through 2014-06-27,Flask send_file function
, path traversal,,,,,noamezekiel/sphere,through 2020-05-31,Flask send_file function
, path traversal,,,,,nrlakin/homepage,through 2017-03-06,Flask send_file function
, path traversal,,,,,olmax99/helm-flask-celery,before 2022-05-25,Flask send_file function
, path traversal,,,,,olmax99/pyathenastack,through 2019-11-08,Flask send_file function
, path traversal,,,,,pleomax00/flask-mongo-skel,through 2012-11-01,Flask send_file function
, path traversal,,,,,project-anuvaad/anuvaad-corpus,through 2020-11-23,Flask send_file function
, path traversal,,,,,rainsoupah/sleep-learner,through 2021-02-21,Flask send_file function
, path traversal,,,,,rohitnayak/movie-review-sentiment-analysis,through 2017-05-07,Flask send_file function
, path traversal,,,,,romain20100/nursequest,through 2018-02-22,Flask send_file function
, path traversal,,,,,rusyasoft/TrainEnergyServer,through 2017-08-03,Flask send_file function
, path traversal,,,,,seveas/golem,through 2016-05-17,Flask send_file function
, path traversal,,,,,tooxie/shiva-server,through 0.10.0,Flask send_file function
, path traversal,,,,,tsileo/flask-yeoman,through 2013-09-13,Flask send_file function
, path traversal,,,,,uncleYiba/photo_tag,through 2020-08-31,Flask send_file function
, path traversal,,,,,varijkapil13/Sphere_ImageBackend,through 2019-10-03,Flask send_file function
, path traversal,,,,,waveyan/internshipsystem,through 2018-05-22,Flask send_file function
, path traversal,,,,,whmacmac/vprj,through 2022-04-06,Flask send_file function
, path traversal,,,,,woduq1414/munhak-moa,before 2022-05-03,Flask send_file function
, path traversal,,,,,yogson/syrabond,through 2020-05-25,Flask send_file function
, path traversal,,,,,DSAB-local/DSAB,through 2019-02-18,Flask send_file function
, path traversal,,,,,DSABenchmark/DSAB,through 2.1,Flask send_file function
, path traversal,,,,,Rexians/rex-web,through 2022-06-05,Flask send_file function
, path traversal,,,,,adriankoczuruek/ceneo-web-scrapper,through 2021-03-15,Flask send_file function
, path traversal,,,,,akashtalole/python-flask-restful-api,through 2019-09-16,Flask send_file function
, path traversal,,,,,ceee-vip/cockybook,through 2015-04-16,Flask send_file function
, path traversal,,,,,chainer/chainerrl-visualizer,through 0.1.1,Flask send_file function
, path traversal,,,,,deepaliupadhyay/RealEstate,through 2018-11-30,Flask send_file function
, path traversal,,,,,duducosmos/livro_python,through 2018-06-06,Flask send_file function
, path traversal,,,,,heidi-luong1109/shackerpanel,through 2021-05-25,Flask send_file function
, path traversal,,,,,longmaoteamtf/audio_aligner_app,through 2020-01-10,Flask send_file function
, path traversal,,,,,piaoyunsoft/bt_lnmp,through 2019-10-10,Flask send_file function
, path traversal,,,,,ralphjzhang/iasset,through 2022-05-04,Flask send_file function
, path traversal,,,,,sanojtharindu/caretakerr-api,through 2021-05-17,Flask send_file function
, path traversal,,,,,scorelab/OpenMF,before 2022-05-03,Flask send_file function
, path traversal,,,,,shaolo1/VideoServer,through 2019-09-21,Flask send_file function
, path traversal,,,,,sravaniboinepelli/AutomatedQuizEval,through 2020-04-27,Flask send_file function
, path traversal,,,,,stonethree/s3label,through 2019-08-14,Flask send_file function
, path traversal,,,,,umeshpatil-dev/Home__internet,through 2020-08-28,Flask send_file function
, path traversal,,,,,unizar-30226-2019-06/ChangePop-Back,through 2019-06-04,Flask send_file function
, path traversal,,,,,yuriyouzhou/KG-fashion-chatbot,through 2018-05-22,Flask send_file function
, path traversal,,,,,zippies/testplatform,through 2016-07-19,Flask send_file function
, directory traversal,delete arbitrary files,,admin,ScriptCase,through 9.9.008,db_convert.php
, relative path traversal,create files outside target directory,carefully crafted ZIP entry names,,Apache UIMA,3.3.0 and prior,PEAR management component
, race condition,information disclosure,,local attackers,vow,,
, missing HttpOnly flag,steal session cookie,JavaScript|crafted HTTP requests,,WWBN AVideo,11.6 and dev master commit 3f7c0364,cookie functionality
, missing HttpOnly flag,steal hashed password,JavaScript,,WWBN AVideo,11.6 and dev master commit 3f7c0364,cookie functionality
, improper access control|path traversal,access files,,local attacker,LauncherProvider,prior to SMR Aug-2022 Release 1,
, TOCTOU,SMRAM corruption,DMA transactions,,HddPassword software SMI handler,,
, relative path traversal,specify paths to other SVG images,,attackers without Overall/Read permission,Jenkins Embeddable Build Status Plugin,2.0.3 and earlier,
, relative path traversal,denial of service,,low privileged local attacker,Dell PowerScale OneFS,"9.0.0 up to and including 9.1.0.20, 9.2.1.13, 9.3.0.6, and 9.4.0.3",
, relative path traversal,access files|add log messages,,user,ABB Zenon,8.20,
, symlink following,gain access to privileged files and directories,,attacker,pesign,,systemd service
, insufficient path checks,arbitrary file read,importing lesson questions,remote attacker,Moodle,,
, insufficient version validation,gain privileges,crafted .python-version file,local users,pyenv,1.2.24 through 2.3.2,
, symlink following,escape configured share path,,remote user,Samba,,smbd
, symlink following,corrupt one file,,attacker,Cargo,all versions,
, information disclosure,disclose password hashes,,,,Craft CMS,between 3.0.0 and 3.7.32,Anti-CSRF-Tokens
, lack of authorisation and CSRF,install and activate arbitrary plugins,,authenticated users,Car Dealer (Dealership) and Vehicle sales WordPress Plugin,before 3.05,AJAX action
, lack of authorisation and CSRF,install and activate arbitrary plugins,,authenticated users,Memory Usage Memory Limit PHP and Server Memory Health Check and Fix Plugin,before 2.46,AJAX action
, lack of authorisation and CSRF,grant any privileges,,authenticated users,iubenda WordPress plugin,before 3.3.3,AJAX action
, authentication bypass,,,authenticated users,Bifrost,prior to 1.8.8-release,admin and monitor user groups
, absolute path traversal,upload files to arbitrary path,,unauthenticated user,Italtel NetMatch-S CI,5.2.0-20211008,NMSCI-WebGui/SaveFileUploader
, remote file inclusion|absolute path traversal,,,,,Systematic FIX Adapter (ALFAFX),2.4.0.25 13/09/2017,
, open redirect,Server-Side Request Forgery,,,Labstack Echo,v4.8.0,Static Handler component