"Description","JSON"
"In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""geniezone driver""}"
"In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","{""ROOTCAUSE"": ""integer overflow"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""ccu driver""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05687781.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","{""ROOTCAUSE"": ""race condition"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Android"", ""VERSION"": ""Android-11"", ""COMPONENT"": ""pf_write_buf of FuseDaemon.cpp""}"
"In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""heap buffer overflow"", ""out of bounds write""], ""IMPACT"": ""remote information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Android"", ""VERSION"": ""Android-10 Android-11 Android-12 Android-9"", ""COMPONENT"": ""C2SoftMP3::process() of C2SoftMp3Dec.cpp""}"
"In PVInitVideoEncoder of mp4enc_api.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12Android ID: A-190435883","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""heap buffer overflow"", ""out of bounds read""], ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Android"", ""VERSION"": ""Android-12"", ""COMPONENT"": ""PVInitVideoEncoder of mp4enc_api.cpp""}"
"In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""integer overflow"", ""out of bounds read""], ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Android"", ""VERSION"": ""Android kernel"", ""COMPONENT"": ""valid_ipc_dram_addr of cm_access_control.c""}"
"A Stack-based buffer overflow vulnerability in SMA100 Apache httpd server's mod_cgi module environment variables allows a remote unauthenticated attacker to potentially execute code as a 'nobody' user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": ""potentially execute code as a 'nobody' user"", ""VECTOR"": ""nan"", ""ATTACKER"": ""remote unauthenticated attacker"", ""PRODUCT"": ""SMA100 Apache httpd server"", ""VERSION"": ""firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions"", ""COMPONENT"": ""mod_cgi module""}"
"A Heap-based buffer overflow vulnerability in SonicWall SMA100 getBookmarks method allows a remote authenticated attacker to potentially execute code as the nobody user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances.","{""ROOTCAUSE"": ""unchecked use of strcat"", ""WEAKNESS"": ""Heap-based buffer overflow"", ""IMPACT"": ""potentially execute code as the nobody user"", ""VECTOR"": ""nan"", ""ATTACKER"": ""remote authenticated attacker"", ""PRODUCT"": ""SonicWall SMA100"", ""VERSION"": ""nan"", ""COMPONENT"": ""getBookmarks method""}"
"A Stack-based buffer overflow in the SonicOS HTTP Content-Length response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": [""unexpected application termination"", ""heap corruption""], ""VECTOR"": ""nan"", ""ATTACKER"": ""remote authenticated attacker"", ""PRODUCT"": ""SonicOS"", ""VERSION"": ""Gen 5, Gen 6 and Gen 7 firmware versions"", ""COMPONENT"": ""HTTP Content-Length response header""}"
"A Stack-based buffer overflow in the SonicOS SessionID HTTP response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": [""Denial of Service (DoS)"", ""potentially results in code execution""], ""VECTOR"": ""nan"", ""ATTACKER"": ""remote authenticated attacker"", ""PRODUCT"": ""SonicOS"", ""VERSION"": ""Gen 5, Gen 6 and Gen 7 firmware versions"", ""COMPONENT"": ""SessionID HTTP response header""}"
"An out-of-bounds write vulnerability exists in the TIFF header count-processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": ""missing null check for a size field"", ""WEAKNESS"": [""out-of-bounds write"", ""buffer overflow""], ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.8, ""COMPONENT"": ""TIFF header count-processing functionality""}"
"An out-of-bounds write vulnerability exists in the SGI Format Buffer Size Processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.8, ""COMPONENT"": ""SGI Format Buffer Size Processing functionality""}"
"An out-of-bounds write vulnerability exists in the SGI format buffer size processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.8, ""COMPONENT"": ""SGI format buffer size processing functionality""}"
"An out-of-bounds write vulnerability exists in the JPG sof_nb_comp header processing functionality of Accusoft ImageGear 19.8 and 19.9. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": ""19.8 and 19.9"", ""COMPONENT"": ""JPG sof_nb_comp header processing functionality""}"
"A memory corruption vulnerability exists in the ISO Parsing functionality of Disc Soft Ltd Deamon Tools Pro 8.3.0.0767. A specially crafted malformed file can lead to an out-of-bounds write. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""out-of-bounds write"", ""memory corruption""], ""IMPACT"": [""segmentation fault"", ""application crash""], ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Disc Soft Ltd Deamon Tools Pro"", ""VERSION"": ""8.3.0.0767"", ""COMPONENT"": ""ISO Parsing functionality""}"
"A stack-based buffer overflow vulnerability exists in the Web Manager SslGenerateCSR functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4 (in QEMU)"", ""COMPONENT"": ""Web Manager SslGenerateCSR functionality""}"
"A stack-based buffer overflow vulnerability exists in the Web Manager Ping functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager Ping functionality""}"
"A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletedir). An attacker can make an authenticated HTTP request to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager FsBrowseClean functionality""}"
"A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletefile). An attacker can make an authenticated HTTP request to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager FsBrowseClean functionality""}"
"A stack-based buffer overflow vulnerability exists in the Web Manager FsUnmount functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager FsUnmount functionality""}"
"A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to memcpy. An attacker can send a malicious packet to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": """", ""VECTOR"": ""specially-crafted packet"", ""ATTACKER"": """", ""PRODUCT"": ""Garrett Metal Detectors\\u2019 iC Module"", ""VERSION"": ""CMA Version 5.0"", ""COMPONENT"": ""CMA check_udp_crc function""}"
"A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to strcpy. An attacker can send a malicious packet to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": """", ""VECTOR"": ""specially-crafted packet"", ""ATTACKER"": """", ""PRODUCT"": ""Garrett Metal Detectors\\u2019 iC Module"", ""VERSION"": ""CMA Version 5.0"", ""COMPONENT"": ""CMA check_udp_crc function""}"
"Stack-based buffer overflow vulnerability exists in how the CMA readfile function of Garrett Metal Detectors iC Module CMA Version 5.0 is used at various locations. The Garrett iC Module exposes an authenticated CLI over TCP port 6877. This interface is used by a secondary GUI client, called “CMA Connect”, to interact with the iC Module on behalf of the user. After a client successfully authenticates, they can send plaintext commands to manipulate the device.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": """", ""VECTOR"": """", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Garrett Metal Detectors iC Module"", ""VERSION"": ""CMA Version 5.0"", ""COMPONENT"": ""CMA readfile function""}"
"A heap-based buffer overflow vulnerability exists in the DecoderStream::Append functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": """", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""DecoderStream::Append functionality""}"
"A heap-based buffer overflow vulnerability exists in the Palette box parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": """", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""Palette box parser functionality""}"
"A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": """", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""XWD parser functionality""}"
"A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","{""ROOTCAUSE"": """", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": """", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""XWD parser functionality""}"
